Название продукта;Ссылка на продукт;Банк;Изображение карты
Зарплатная Престиж Драйв MC World Debit Gold;https://minfin.com.ua//cards/card/view/zarplatnaya-prestizh-drajv-mc-world-debit-gold;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-prestizh-drajv-mc-world-debit-gold.png
Зарплатная Медиум Драйв Visa Classic;https://minfin.com.ua//cards/card/view/zarplatnaya-medium-drajv-visa-classic;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-medium-drajv-visa-classic.png
Зарплатная Медиум Драйв Visa Classic;https://minfin.com.ua//cards/card/view/zarplatnaya-medium-drajv-visa-classic;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-medium-drajv-visa-classic.png
Зарплатная Медиум Драйв MC World Debit;https://minfin.com.ua//cards/card/view/zarplatnaya-medium-drajv-mc-world-debit;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-medium-drajv-mc-world-debit.png
Зарплатная Старт Драйв Visa Classic;https://minfin.com.ua//cards/card/view/zarplatnaya-start-drajv-visa-classic;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-start-drajv-visa-classic.png
Зарплатная Старт Драйв MC World Debit;https://minfin.com.ua//cards/card/view/zarplatnaya-start-drajv-mc-world-debit;Укргазбанк;https://minfin.com.ua//cimgs/cards/zarplatnaya-start-drajv-mc-world-debit.png
Инстант Visa Classic;https://minfin.com.ua//cards/card/view/instant-visa-classic;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/instant-visa-classic.png
Корпоративная Visa Gold;https://minfin.com.ua//cards/card/view/korporativnaya-visa-gold;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/korporativnaya-visa-gold.png
Депозитная Visa Platinum;https://minfin.com.ua//cards/card/view/depozitnaya-visa-platinum;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/depozitnaya-visa-platinum.png
Депозитная Visa Gold;https://minfin.com.ua//cards/card/view/depozitnaya-visa-gold;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/depozitnaya-visa-gold.png
Депозитная Visa Classic;https://minfin.com.ua//cards/card/view/depozitnaya-visa-classic;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/depozitnaya-visa-classic.png
Частная Visa Platinum;https://minfin.com.ua//cards/card/view/chastnaya-visa-platinum;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/chastnaya-visa-platinum.png
Частная Visa Gold;https://minfin.com.ua//cards/card/view/chastnaya-visa-gold;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/chastnaya-visa-gold.png
Частная Visa Gold;https://minfin.com.ua//cards/card/view/chastnaya-visa-gold;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/chastnaya-visa-gold.png
Частная Visa Classic;https://minfin.com.ua//cards/card/view/debetovaya-visa-classic;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/debetovaya-visa-classic.png
Зарплатная Visa Platinum;https://minfin.com.ua//cards/card/view/visa-platinum;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/visa-platinum.png
Зарплатная Visa Gold;https://minfin.com.ua//cards/card/view/visa-gold-399379491;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/visa-gold-399379491.png
Зарплатная Visa Classic;https://minfin.com.ua//cards/card/view/visa-classic-1187599612;Айбокс Банк (АгроКомБанк);https://minfin.com.ua//cimgs/cards/visa-classic-1187599612.png
Моя кредитка;https://minfin.com.ua//cards/card/view/moya-kreditka-1059551049;Ощадбанк;https://minfin.com.ua//cimgs/cards/moya-kreditka-1059551049.png
Виртуальная карта;https://minfin.com.ua//cards/card/view/virtualnaya-karta-1596661608;Банк Конкорд;https://minfin.com.ua//cimgs/cards/virtualnaya-karta-1596661608.png
Prepaid карта «X-Card»;https://minfin.com.ua//cards/card/view/prepaid-karta-x-card;Банк Конкорд;https://minfin.com.ua//cimgs/cards/prepaid-karta-x-card.png
ONE;https://minfin.com.ua//cards/card/view/one;Банк Конкорд;https://minfin.com.ua//cimgs/cards/one.png
"Карта ""Елит"" MC World Elite";https://minfin.com.ua//cards/card/view/karta-elit-mc-world-elite;Банк Пивденный;https://minfin.com.ua//cimgs/cards/karta-elit-mc-world-elite.png
